17:47:37.179 -> ⸮⸮d1
17:47:37.957 -> 0.116455, 1.002441, -0.225586, -3.175573, -59.480915, 1.221374
17:47:37.957 -> 0.127930, 1.003174, -0.246094, -3.725191, -59.908398, 1.160305
17:47:38.033 -> 0.122314, 1.006836, -0.236084, -3.725191, -61.618320, 0.977099
17:47:38.033 -> 0.133057, 1.007812, -0.248047, -3.114504, -62.473282, 1.038168
17:47:38.033 -> 0.135010, 1.003906, -0.232178, -3.358779, -63.450382, 0.916031
17:47:38.033 -> 0.128418, 1.004395, -0.205322, -2.870229, -64.427483, 1.160305
17:47:38.033 -> 0.137695, 1.015381, -0.189697, -3.236641, -65.221375, 1.099237
17:47:38.033 -> 0.140381, 1.007812, -0.218018, -3.419847, -66.137405, 1.038168
17:47:38.083 -> 0.145020, 1.015381, -0.200195, -3.297710, -67.053436, 0.977099
17:47:38.083 -> 0.140381, 1.004150, -0.194580, -2.931298, -67.725189, 1.221374
17:47:38.083 -> 0.150635, 1.015381, -0.209473, -3.175573, -68.335876, 1.038168
17:47:38.083 -> 0.148438, 1.001221, -0.187744, -2.748092, -68.946564, 1.221374
17:47:38.142 -> 0.147705, 1.005615, -0.182373, -3.175573, -69.923668, 1.160305
17:47:38.142 -> 0.151367, 1.015381, -0.208252, -3.480916, -70.656487, 1.160305
17:47:38.142 -> 0.157227, 1.009521, -0.189941, -3.297710, -71.389313, 1.160305
17:47:38.142 -> 0.162354, 1.005615, -0.190186, -3.358779, -72.000000, 1.099237
17:47:38.219 -> 0.154785, 1.008545, -0.197266, -2.870229, -72.732826, 1.099237
17:47:38.219 -> 0.160889, 1.005615, -0.164307, -2.687023, -73.160309, 1.160305
17:47:38.219 -> 0.161865, 1.011230, -0.170166, -2.870229, -73.954201, 1.160305
17:47:38.219 -> 0.165039, 1.009766, -0.158936, -3.053435, -74.442749, 1.038168
17:47:38.219 -> 0.161377, 1.004639, -0.132568, -2.931298, -74.625954, 1.160305
17:47:38.219 -> 0.167969, 1.007324, -0.134766, -3.358779, -74.687019, 1.221374
17:47:38.270 -> 0.169189, 1.011719, -0.140625, -3.358779, -74.870232, 1.038168
17:47:38.270 -> 0.165039, 1.009277, -0.107178, -2.870229, -75.114502, 1.160305
17:47:38.270 -> 0.164551, 1.008545, -0.109863, -3.053435, -74.931297, 1.221374
17:47:38.270 -> 0.163330, 1.008301, -0.114502, -3.358779, -74.870232, 1.221374
17:47:38.331 -> 0.164551, 0.997803, -0.094238, -3.053435, -74.870232, 1.160305
17:47:38.331 -> 0.157959, 1.015625, -0.090820, -3.236641, -74.381683, 1.282443
17:47:38.331 -> 0.154297, 1.004395, -0.094238, -3.175573, -74.503815, 1.221374
17:47:38.331 -> 0.157227, 1.010254, -0.073486, -2.931298, -74.076340, 1.160305
17:47:38.393 -> 0.162354, 1.006836, -0.069824, -2.992366, -73.648857, 1.099237
17:47:38.393 -> 0.154785, 1.006836, -0.080322, -3.358779, -73.526718, 1.038168
17:47:38.393 -> 0.154297, 1.018311, -0.080811, -3.358779, -73.221375, 1.160305
